,E,I,J,L,input,nthreads,low,high,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
651,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1847.081696,1770.496094,1259.212478,1176.199101,220.152952,284.432694,39.611865
652,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1760.548063,1714.136432,1169.411519,1137.792070,290.404223,237.115677,38.971818
653,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1797.931368,1741.321624,1218.350288,1175.535507,282.240707,231.471269,38.206348
654,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1704.646711,1682.706301,1045.024247,1016.290744,245.650727,314.392018,44.561413
655,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1725.908680,1664.961742,1133.831576,1086.628740,272.981644,227.692505,39.282192
656,1,1,1,1,25,24,1800000,2300000,0 10234101760,1889.807953,1816.855911,1310.341783,1251.086926,280.991318,230.544175,38.272875
657,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1685.539232,1635.790925,1068.314468,1032.898159,285.002550,233.933213,40.959418
658,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1664.122144,1645.970000,1048.553142,1024.160764,230.571181,294.215196,41.558058
659,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1857.057026,1782.124937,1259.578326,1198.516849,284.520341,235.547867,39.526792
660,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1818.571911,1755.000897,1241.057479,1170.386858,225.453734,290.752244,38.793957
661,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1745.945281,1688.856610,1147.482682,1104.583804,288.240692,236.050081,39.569837
662,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1836.886000,1772.662861,1209.172914,1160.506394,302.769197,247.451127,41.440429
663,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1857.149307,1816.886641,1244.139251,1197.562241,236.233140,303.910978,41.205086
664,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1727.837035,1693.614653,1127.226475,1086.492507,225.257613,290.896974,40.510515
665,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1695.775466,1663.713685,1061.304872,1044.082671,297.630613,243.652846,42.064843
666,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1795.958026,1748.982648,1159.394194,1105.349106,242.791139,308.590159,42.915208
667,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1718.334918,1686.547379,1118.047168,1079.875260,230.947741,294.965455,40.430279
668,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1732.008163,1672.215012,1144.564380,1099.084292,280.767989,226.884168,38.829325
669,1,1,1,1,25,24,1800000,2300000,0 10234101760,1911.530966,1833.640032,1322.309055,1258.389633,281.676635,234.304219,38.875236
670,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1649.395143,1633.537951,1014.295441,992.424271,239.538846,304.737763,42.851311
671,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1839.436860,1783.494398,1200.615419,1159.501222,290.617461,238.135665,42.455393
672,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1831.702116,1771.416474,1250.456803,1203.968888,281.404358,232.274595,38.387863
673,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1821.355743,1751.982714,1239.466654,1184.753201,276.991757,227.001540,38.419165
674,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1795.890974,1728.251094,1184.146123,1131.140215,292.792433,241.880600,40.426789
675,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1646.102204,1613.566395,1047.879654,1008.798887,219.995299,285.160920,40.440333
676,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1758.387237,1702.279498,1192.841172,1150.274872,273.664112,223.003338,37.315098
677,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1715.775695,1655.295366,1113.465563,1066.585634,283.767733,231.803682,39.895774
678,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1743.620057,1679.867082,1129.578919,1079.325759,284.800811,233.020967,40.768269
679,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1762.813568,1700.170762,1183.280717,1112.850818,222.539628,291.486875,39.029403
680,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1811.708895,1755.860656,1189.265239,1148.340116,299.261869,243.521224,41.109711
681,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1666.180271,1640.785873,1057.252535,1025.077148,231.970841,296.377669,41.098346
682,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1548.055234,1498.978949,974.049419,937.653155,258.159517,213.309465,38.239292
683,1,1,1,1,25,24,1800000,2300000,0 10234101760,1831.136317,1759.985947,1278.796707,1221.335665,269.379781,219.985704,36.445982
684,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1766.929135,1711.843048,1180.265730,1117.894824,220.350265,284.083694,39.600652
685,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1744.646107,1685.795306,1177.693864,1131.371931,262.515330,215.934880,37.589582
686,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1652.971988,1634.102299,1015.839343,990.580811,239.858902,304.693298,43.035463
687,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1689.960833,1656.565657,1075.079192,1055.666457,281.610016,228.533903,40.890295
688,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1740.982730,1699.921919,1175.298341,1126.335005,216.066849,285.205016,38.118188
689,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1774.855714,1731.894613,1142.578028,1091.678481,234.473022,303.569106,42.736609
690,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1700.616789,1647.993392,1067.876923,1029.679307,295.008028,240.678210,42.033961
691,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1752.848343,1696.530854,1188.034502,1144.922671,273.319138,220.968916,37.347152
692,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1793.857315,1739.627042,1188.557311,1147.918583,284.620713,232.741026,40.102807
693,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1820.632595,1757.811391,1238.034359,1188.827865,276.189820,225.257202,38.542523
694,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1710.580586,1680.565322,1117.123839,1080.137636,229.759600,294.374373,39.923723
695,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1665.885304,1619.717118,1092.993302,1060.228092,271.925429,221.836870,37.942740
696,1,1,1,1,25,24,1800000,2300000,0 10234101760,1812.828323,1742.853653,1270.804120,1193.591463,207.541764,272.143847,36.440108
697,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1670.146286,1636.687957,1056.022032,1015.154069,220.404021,286.849085,41.607428
698,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1696.027677,1634.920716,1076.558836,1029.590208,293.791260,238.490254,41.065025
699,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1738.313402,1691.207784,1153.880177,1120.948014,282.789046,230.609712,38.621811
700,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1737.774704,1674.569319,1174.118243,1123.871031,264.035494,215.980363,37.317758
