,E,I,J,L,Q,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,-1,-1,1,1,-1,2300000,25,1800000,24,4398616936448 9663676416,1680.754989,1654.595654,1100.254015,1093.298452,281.127245,195.126325,38.352883
2,1,1,1,-1,-1,2300000,25,1800000,24,4406636445696 1644167168,2048.914824,1956.589918,1336.532075,1265.471072,313.867478,224.470323,47.421761
3,-1,-1,-1,1,1,2300000,25,1800000,24,1644167168 4406636445696,1787.729066,1800.361537,1124.587007,1154.730149,307.462894,232.972444,44.062567
4,1,-1,1,-1,-1,2300000,25,1800000,24,4407173316608 1107296256,1733.756102,1709.372116,1129.997709,1125.252473,299.835721,206.810560,39.829207
5,-1,-1,1,1,1,2300000,25,1800000,24,570425344 4407710187520,1829.811075,1819.472778,1200.396012,1201.971786,287.565672,245.606080,41.769294
6,1,1,1,1,1,2300000,25,1800000,24,0 4408280612864,1852.865448,1814.419219,1278.394242,1260.248244,289.482071,204.455029,37.690982
7,-1,1,1,1,1,2300000,25,1800000,24,33554432 4408247058432,1711.887040,1712.932592,1155.165010,1167.700439,255.216842,220.652802,36.860836
8,1,1,-1,1,1,2300000,25,1800000,24,1073741824 4407206871040,1629.893808,1619.691847,1080.722290,1080.858524,249.762967,215.247688,36.446642
9,1,1,1,1,-1,2300000,25,1800000,24,4398046511104 10234101760,1716.656649,1684.685183,1180.826812,1167.819595,265.329559,183.070558,35.238787
10,-1,1,1,-1,1,2300000,25,1800000,24,8623489024 4399657123840,1745.117359,1711.270398,1151.746061,1138.707583,295.328108,208.316407,38.992022
11,1,-1,-1,1,-1,2300000,25,1800000,24,4399657123840 8623489024,1682.993622,1644.749224,1080.405839,1061.464002,286.361038,204.332138,39.825131
12,1,1,-1,1,-1,2300000,25,1800000,24,4399120252928 9160359936,1734.597185,1727.148069,1152.930879,1157.186710,271.577346,234.943037,38.479529
13,-1,-1,-1,-1,1,2300000,25,1800000,24,10234101760 4398046511104,1550.661456,1524.039749,942.140683,933.326245,287.509769,209.819902,40.322832
14,1,-1,-1,-1,1,2300000,25,1800000,24,10200547328 4398080065536,1626.118791,1620.306455,1014.292451,1022.015184,277.315840,227.360153,40.684076
15,1,1,1,-1,1,2300000,25,1800000,24,8589934592 4399690678272,1716.949640,1681.573366,1156.889392,1141.067276,280.087062,193.874356,36.842155
16,1,-1,-1,-1,-1,2300000,25,1800000,24,4408247058432 33554432,1578.340454,1550.659776,984.026246,975.272734,285.082962,200.350096,39.310864
17,-1,-1,1,-1,1,2300000,25,1800000,24,9160359936 4399120252928,1650.873704,1632.272611,1051.667680,1052.099381,286.495331,204.441465,39.620248
18,1,-1,1,-1,1,2300000,25,1800000,24,9126805504 4399153807360,1689.258817,1681.734226,1102.881864,1106.593474,264.209473,227.959198,38.952917
19,-1,-1,-1,-1,-1,2300000,25,1800000,24,4408280612864 0,1614.301776,1584.839551,981.508595,971.093655,304.005205,219.005430,41.882820
20,-1,-1,-1,1,-1,2300000,25,1800000,24,4399690678272 8589934592,1647.872455,1605.173749,1029.796004,1005.943558,288.894181,208.296779,41.005354
21,1,-1,1,1,1,2300000,25,1800000,24,536870912 4407743741952,1863.912735,1829.079925,1245.450837,1231.419360,301.395859,215.031311,40.717359
22,1,-1,1,1,-1,2300000,25,1800000,24,4398583382016 9697230848,1824.294066,1790.323212,1216.743652,1202.617677,292.560699,209.014926,40.078391
23,-1,1,-1,1,-1,2300000,25,1800000,24,4399153807360 9126805504,1701.076738,1666.613250,1107.166567,1091.708207,292.093948,208.600131,39.155911
24,1,-1,-1,1,1,2300000,25,1800000,24,1610612736 4406670000128,1737.040360,1707.706908,1109.673508,1099.353606,297.789093,216.907474,41.498844
25,-1,1,1,1,-1,2300000,25,1800000,24,4398080065536 10200547328,1802.443065,1766.499271,1223.375928,1207.503509,291.175708,206.782122,38.056665
26,1,1,-1,-1,-1,2300000,25,1800000,24,4407710187520 570425344,1717.747635,1755.898910,1099.063784,1152.191408,284.174135,228.941753,41.048150
27,-1,1,-1,-1,-1,2300000,25,1800000,24,4407743741952 536870912,1621.553973,1588.241162,1023.632491,1008.961777,294.454971,211.285614,39.476126
28,-1,1,1,-1,-1,2300000,25,1800000,24,4406670000128 1610612736,1686.473040,1676.342727,1111.472597,1112.340698,265.514939,229.701237,38.132400
29,-1,1,-1,-1,1,2300000,25,1800000,24,9697230848 4398583382016,1665.294088,1630.535154,1049.782381,1035.923948,305.007204,214.274800,40.552905
30,-1,-1,1,-1,-1,2300000,25,1800000,24,4407206871040 1073741824,1714.877194,1690.697232,1091.492516,1087.600453,304.367337,218.172087,41.129127
31,-1,1,-1,1,1,2300000,25,1800000,24,1107296256 4407173316608,1754.967205,1708.305498,1139.774201,1112.758358,300.475189,214.222319,40.592362
