,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
275,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,61.706116,57.797287,43.436401,39.915009,7.871155,6.215881,1.232721
276,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,67.810135,66.170502,46.207672,44.695877,7.625839,7.482254,1.478396
277,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,96.274551,93.961746,62.206879,59.714706,8.954987,11.158035,2.368467
278,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,72.82222,76.2827,37.951721,41.498428,10.116867,10.498749,2.420227
279,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,56.482819,55.326614,39.855911,38.987045,7.104858,5.96962,1.122739
280,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,51.876266,50.807297,29.233826,28.50235,8.749435,7.093475,1.547621
281,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,61.479446,57.548843,43.679779,40.052917,7.535385,6.221008,1.202943
282,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,57.324951,55.457001,40.604172,38.909897,6.972992,6.36879,1.13159
283,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,59.736343,57.785553,42.43486,40.628845,6.975937,6.61142,1.173229
284,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,59.652649,58.037079,41.947662,40.472824,6.985229,6.779129,1.202177
285,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,52.4879,51.468704,29.703629,28.948318,8.831177,7.368607,1.557781
286,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,51.487778,50.238876,28.932083,28.121201,8.908661,6.842468,1.53763
287,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,51.054642,49.957077,28.824936,28.084763,8.670486,7.008423,1.516954
288,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,50.665955,49.473541,28.31102,27.408905,8.230606,7.247101,1.528615
289,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.638519,49.828766,28.503448,28.093704,8.724716,6.896545,1.509253
290,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,58.885223,55.411926,41.864548,38.609726,7.113388,6.272141,1.152112
291,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,52.804871,51.678207,29.085999,28.327087,8.992264,7.20697,1.62987
292,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,52.489639,51.09021,29.636734,28.653183,8.975662,7.122696,1.5597
293,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,52.106812,51.025604,29.241089,28.582932,9.080444,7.115875,1.559705
294,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,59.222763,55.335999,42.045914,38.420807,7.190948,6.232925,1.161978
295,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,60.883881,57.112,43.031113,39.641357,7.775284,6.056152,1.204161
296,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,58.757111,54.964203,41.761002,38.139969,6.954514,6.459335,1.152073
