,E,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
98,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.769104,115.783508,66.110077,66.271439,25.485687,20.533569,3.367446
99,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.124023,122.077499,73.689545,73.408600,24.199158,20.996246,3.293818
100,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.178848,136.834991,97.082108,94.641418,23.186386,19.374954,2.837718
101,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.799637,116.032852,66.067169,66.331894,24.971237,20.871719,3.377310
102,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.984482,123.335144,74.079910,74.371429,24.793320,20.755096,3.321836
103,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,134.279510,131.336304,91.552475,89.300949,22.714874,20.051865,2.817425
104,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.374786,134.659561,96.445129,93.607346,22.752701,19.266602,2.756759
105,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,121.904526,121.183151,72.994186,72.937378,23.798233,21.215408,3.260815
106,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.323944,132.869446,93.174896,90.486404,22.860641,19.923218,2.845285
107,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,141.039383,138.127701,97.651321,95.634033,23.439194,19.569885,2.857463
108,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.780853,115.032288,65.595596,65.756241,24.746063,21.009354,3.342963
109,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.133514,115.811020,66.033981,66.619080,24.900635,20.997620,3.335994
110,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,139.264908,135.877045,96.852417,94.435181,23.069916,19.168747,2.787103
111,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,172.429886,159.535339,112.736130,101.170242,26.385712,22.378204,4.011630
112,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,121.308029,120.551376,72.965942,72.887909,23.776550,21.185730,3.219737
113,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,138.407150,134.339142,94.249588,91.308014,23.848404,19.153992,2.905491
114,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,142.426987,138.966660,98.559509,96.157608,23.541641,19.198486,2.886184
115,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.057465,122.288559,73.648224,73.659470,23.980957,21.101730,3.291657
116,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.820251,115.053665,65.582611,65.786682,24.812225,20.783905,3.345045
117,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.704315,132.009979,92.719803,89.991989,23.267242,19.118652,2.828204
118,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,114.235931,113.710083,65.369980,65.584335,23.962906,21.043442,3.255853
119,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,174.239426,163.691620,115.254639,105.625092,25.734161,22.037613,3.967075
120,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.907883,122.853500,74.217911,74.076004,24.644104,20.741959,3.305056
121,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,124.974792,123.878418,74.653702,74.659256,25.120010,20.380753,3.345654
122,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.277115,135.073685,95.995605,93.560745,22.654831,19.513824,2.785137
123,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,116.367096,115.779495,65.792984,66.205002,25.150070,20.724289,3.366523
124,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.710602,132.198120,92.789368,90.107849,22.973618,19.419800,2.828240
125,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,133.436340,129.827011,91.906113,88.953674,22.065338,19.663071,2.735017
126,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,124.512466,123.767593,74.295898,74.450592,24.567062,20.868484,3.344938
127,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,150.096039,146.418610,79.177963,76.818573,28.613403,23.837402,4.805499
128,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,137.103714,133.676041,95.312500,92.502823,22.098587,19.790619,2.755645
129,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.138000,132.679062,92.773987,90.173599,23.112595,19.554779,2.858557
130,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.604187,121.809219,73.323700,73.376984,24.168610,20.792862,3.280729
131,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.478058,115.137924,65.469803,65.953552,24.268372,21.080261,3.333852
132,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.294693,136.908295,97.198639,94.727783,23.031921,19.323563,2.837786
133,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.047516,121.114304,73.020065,72.721939,23.664108,21.315918,3.271175
134,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,114.131454,113.531021,65.285248,65.525757,24.189804,20.701935,3.251542
135,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,183.180099,168.729614,118.712570,105.433212,26.592957,23.321152,4.352869
136,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.195450,135.144226,95.926758,93.563004,22.386978,19.711243,2.786614
137,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,138.831177,134.986435,94.355560,91.662735,24.020721,19.159653,2.926766
138,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.073364,136.549164,97.076523,94.355362,22.833847,19.735107,2.834257
139,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.654907,114.811966,65.502365,65.720215,24.787964,20.619476,3.336549
140,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.314316,122.281616,73.645203,73.318253,23.785873,21.435089,3.313704
141,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.987732,115.271317,65.559174,65.999985,25.115982,20.365860,3.353339
142,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.402893,121.328934,73.501144,73.401031,24.434418,20.502228,3.251304
143,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,185.799652,171.557098,120.692596,107.735199,27.499054,22.840530,4.387541
144,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,137.668427,133.959702,95.877899,92.796478,22.093491,19.766357,2.757016
145,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,117.217224,116.602921,66.172134,66.634323,25.309677,20.830032,3.397569
146,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,139.794876,136.494537,96.833542,94.440811,23.211014,19.519913,2.830478
147,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,138.578415,134.730499,94.419510,91.652771,23.928574,19.244644,2.906642
148,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.675049,122.683319,73.965576,73.815414,24.337494,21.060944,3.311267
149,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.117508,122.190430,73.628647,73.666626,24.590256,20.500687,3.291150
150,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,113.889221,113.123047,64.863953,65.021713,24.478058,20.790009,3.261892
151,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,186.022202,171.367661,122.300705,108.494522,26.279709,23.826019,4.303904
152,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,134.505630,130.812515,92.027588,89.268463,22.924210,19.220444,2.794284
153,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.420425,132.178986,92.380814,89.958344,22.942123,19.724472,2.837171
154,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.310547,135.046814,96.036163,93.510559,22.385468,19.709473,2.785710
155,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.514572,114.904922,65.797150,65.955521,24.178848,21.271774,3.315206
156,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,124.170700,123.510544,74.045853,74.101486,24.198975,21.571213,3.345098
157,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,132.505936,128.657974,91.483612,88.178085,21.926712,19.779633,2.705076
158,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,124.260376,123.055069,74.335373,74.033691,24.725494,20.951874,3.324719
159,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,182.121292,169.112137,120.731918,108.956604,26.231613,22.623444,4.134692
160,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.880554,115.308472,65.484467,65.835983,24.832047,21.094559,3.357059
161,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,138.463089,134.601578,94.236374,91.500717,24.012909,19.222427,2.909811
162,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.604004,135.019882,96.184464,93.370148,22.686401,19.718903,2.794830
163,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,114.952347,114.412994,65.575500,65.755859,24.205048,21.432800,3.292330
164,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.217300,122.054977,73.696625,73.203888,24.249664,21.587524,3.303298
165,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.773407,122.674683,74.254730,74.130920,24.762360,20.684265,3.292591
166,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.364441,114.542755,65.447418,65.806305,25.472260,20.376328,3.315596
167,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,179.525345,164.995270,119.469452,106.220993,26.298096,22.350693,4.039841
168,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.236282,132.461761,93.075577,90.155365,23.101349,19.695541,2.844793
169,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.732941,135.169296,96.279800,93.479233,22.681549,19.833862,2.796875
170,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.887192,121.885483,73.494461,73.251801,24.059113,21.426697,3.291783
171,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.453049,131.741394,92.530228,89.691620,22.922195,19.729599,2.826735
172,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.348114,114.847321,65.486160,65.736206,24.133438,21.604980,3.325470
173,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,133.701523,130.582916,91.647339,89.140472,22.088470,20.209351,2.775858
174,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,122.664093,121.399689,73.538193,73.016785,23.861755,21.427399,3.274520
175,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,158.011475,153.035400,83.375168,78.915787,27.367004,26.763962,5.093453
176,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.329681,135.032166,95.920074,93.373291,22.575989,19.749832,2.796158
