,D,F,K,T,Y,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
388,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2066.135880,1954.945892,1293.390091,1209.693436,337.907318,232.942566,51.236095
389,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1481.435684,1714.821899,829.523239,1073.568893,277.884033,247.438202,43.346607
390,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1903.010513,1711.241821,1261.944962,1084.621689,285.712067,234.452057,42.429466
391,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1572.084717,1887.943924,806.370651,1142.021881,319.330612,243.929977,51.052830
392,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1566.606369,1854.678055,815.391525,1116.753586,302.424820,252.459549,50.315605
393,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1688.507355,2072.268311,863.353699,1279.753387,366.455994,225.537277,54.828323
394,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1613.604492,1902.311142,848.032883,1153.697998,317.399155,247.699844,51.232990
395,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2032.307663,1929.701462,1271.236496,1191.692673,327.580460,239.162598,50.626778
396,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1604.939026,1999.779510,811.787369,1229.724792,333.873184,243.149063,52.876507
397,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1960.128250,1736.999115,1306.569550,1101.135483,297.382843,225.755966,43.191296
398,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1531.853134,1743.686951,860.681442,1089.313980,298.606369,231.050323,44.469612
399,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1869.136459,1700.578415,1231.053406,1075.674896,282.132126,235.671783,42.267483
400,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1608.937073,1906.082352,845.454956,1162.853058,319.435318,245.108658,50.842289
401,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1919.770233,1722.176941,1271.695648,1089.916153,290.767487,234.834137,42.870831
402,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1550.723450,1781.653992,865.887909,1112.851715,299.785568,240.956482,45.467518
403,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1547.526398,1705.135223,890.537811,1064.555298,295.873474,236.526749,43.479843
404,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1932.390915,1678.558121,1292.456833,1054.152374,289.955551,229.938629,42.320766
405,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,2115.131622,2100.273056,1306.819626,1326.970337,362.946671,229.012589,53.441383
406,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1604.388718,1859.889297,898.411331,1177.656921,321.009415,227.904739,46.662037
407,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,1924.381851,1866.697937,1187.629669,1145.818512,304.347916,248.467056,49.155807
408,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,2229.897095,2133.973190,1392.586304,1315.819901,326.910065,268.988724,56.094799
409,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1955.263535,1758.821655,1283.283676,1104.806702,299.910889,233.102768,44.482620
410,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2217.239288,2175.196259,1396.680374,1395.414047,380.340149,215.874832,54.060749
411,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1697.473038,2105.232620,876.591385,1318.295197,366.116180,232.101227,54.357529
412,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,2065.884613,1825.000763,1361.572540,1143.478561,318.921799,224.327240,46.592194
413,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1563.671570,1710.583389,893.247437,1058.865021,304.902603,226.502090,44.365303
414,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1528.018326,1733.939468,863.450180,1085.697632,296.431808,232.219727,44.015850
415,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1620.672379,1965.976990,825.964615,1196.762085,340.588821,243.311615,52.862446
416,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,1988.656815,1779.309570,1309.947662,1119.801086,304.202789,232.418549,44.908283
417,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1490.490570,1687.131073,840.829712,1049.273575,284.038467,243.319229,43.137691
418,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1545.074097,1766.115021,857.547028,1095.908463,302.021088,239.534103,45.584301
419,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,1918.850220,1780.832291,1206.372421,1080.689911,291.806778,250.295807,47.585075
420,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1913.427643,1717.913666,1274.258835,1096.239929,292.940002,227.701630,42.162830
421,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,2101.556519,2092.245407,1310.548889,1336.391190,359.149170,224.707779,52.178192
422,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1576.069794,1954.932922,799.828323,1201.343903,328.945389,242.113953,51.646969
423,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1668.420105,2095.231155,859.105255,1315.819946,354.940704,229.543106,53.732075
424,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,2049.060577,1807.920090,1361.487534,1143.363251,315.269897,217.338303,45.398716
425,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1994.344955,1726.748688,1328.290421,1079.710739,298.815765,227.370438,44.024204
426,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1585.340408,1958.405319,800.623428,1196.301285,330.110321,247.979797,52.247704
427,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1564.628006,1812.841400,857.394974,1125.379150,310.434128,233.581039,46.914623
428,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,1979.888992,1929.417419,1222.849258,1192.369247,319.546692,244.134506,50.428787
429,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1645.887390,1932.574219,866.117264,1174.388077,328.417908,240.343323,51.988243
